ID;Bezeichner;Footprint;Stückzahl;Bezeichnung;Anbieter und Referenz;;;
2;U1;TSOT-23-6_HandSoldering;1;SiP32508;;;Load Switch;
3;Q1;SOT-23;1;BSS316N;;;;
4;U5,U6,U7;SOIC-8_3.9x4.9mm_P1.27mm;3;MCP6002-xSN;;;;
5;C20,C19,C7,C22,C21;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;5;10uF;;;E12;
6;C14,C12;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;2;18nF;;;E24;
7;R22,R24;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;1k;;;E12;
8;SW1;SW_SPST_PTS645;1;On / Off Button;;;;
9;R14,R13;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;7.5k;;;E24;
11;C10,C16,C11;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;3;100n;;;E12;
14;LED2,LED1;LED_D3.0mm;2;LEDred_3mm;;;;
16;U3,U4;TO-92Flat_wide;2;DRV5053_THT;;;;
17;TP20;TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded;1;pad_right_sf;;;;
19;R20,R3,R19;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;3;100k;;;;
20;C13,C15;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;2;330nF;;;;
21;C17,C9,C24,C8,C18,C23,C6;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;7;100nF;;;E12;
22;R17,R25,R26,R18;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;4;18k;;;E12;
23;R21,R23,R10,R9;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;4;1M;;;E12;
24;R6;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;43k;;;E24;
25;C2;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1;220nF;;;E12;
27;U2;SOT-223-3_TabPin2;1;LD1117S33TR;;;;
28;R7,R8;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;62;;;E12;
29;R4,R1,R2;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;3;10k;;;E12;
30;H1,H2,H3,H4;MountingHole_2.2mm_M2;4;MountingHole;;;;
31;R15,R16;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;560k;;;E14;
32;C5,C1,C4;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;3;100uF;;;Box;
34;R12,R11;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;5.1k;;;E24;
37;J1;USB_Micro-B_Molex_47346-0001;1;USB_B_Micro;;;;Ordered
40;D2,D4,D1,D3;SODFL3618X143N;4;SS13L_R3G;;;;
42;BZ1;Buzzer_D14mm_H7mm_P10mm;1;Buzzer;;;;Ordered
43;R5;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;30k;;;E24;
44;HS_Left,HS_right;PinHeader_1x02_P2.54mm_Vertical;2;Conn_01x02_Male;;;;
47;C3;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;1;4.7uF;;;;Ordered
49;P1,P2;PinSocket_1x32_P2.54mm_Vertical;2;"type=R"" model=""Conn_01x32_Female"" lib=""""""";;;;
50;TP;Testpoints;19;;;;;
